,character_name,character_url,lotr_name,titles,birth,death,race,hair,culture,actor,other names,realms,weapon,rule,spouse,voice,height,children,eyes,gender,parentage,siblings,age,name,lifespan,languages,distinctions,members,purpose,formed,dissolved,also known as,dominions,skin color,realm,title,founder(s),type,revenue,employees
187,Blue_Wizards,b'https://lotr.fandom.com/wiki/Blue_Wizards',Blue Wizards,,,,,,,,,,,,,,,,,,,,,,,,,alatar and pallando,to help the peoples of middle-earth fight sauron,ta 1000,unknown,,,,,,,,,
188,E%C3%B6nw%C3%AB,b'https://lotr.fandom.com/wiki/E%C3%B6nw%C3%AB',Eönwë,the banner-bearer; herald of manwë,before the creation of arda,immortal,ainur,,maiar,,"úrion, fiönwë",valinor,"powers of the ainur, other fashioned arms",,,,,,,male,,,,,,,,,,,,,,,,,,,,
189,Ilmar%C3%AB,b'https://lotr.fandom.com/wiki/Ilmar%C3%AB',Ilmarë,handmaid of varda[1],before the creation of arda,,ainur,,maiar (maia of varda),,,,powers of the maiar,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Uinen,b'https://lotr.fandom.com/wiki/Uinen',Uinen,"lady of the sea, spirit of the sea, the tempest calmer, calmer of the sea",before the creation of arda,immortal,ainur,,maiar (maia of ulmo),,"ónen, solórë",,powers of the maiar,,ossë,,,,,,,,,,,,,,,,,,,,,,,,,
191,Salmar,b'https://lotr.fandom.com/wiki/Salmar',Salmar,,before the creation of arda,immortal,ainur,,maiar of ulmo,,,,powers of the ainur,,unknown,,,,,male,,,,,,,,,,,,,,,,,,,,
192,Gr%C3%ADma_Wormtongue,b'https://lotr.fandom.com/wiki/Gr%C3%ADma_Wormtongue',Gríma Wormtongue,"counselor to théoden, spy of saruman",ta 2974,"november 3, 3019",men,black,rohirrim (men of rohan),brad dourif,"worm, snake, wormtongue",,"dagger, witchcraft",,,michael deacon,,,pale blue (film),male,,,,,,,,,,,,,,,,,,,,
193,Maedhros,b'https://lotr.fandom.com/wiki/Maedhros',Maedhros,"prince of the ñoldor,high king of the ñoldor (briefly),lord of the house of fëanor,lord of himring or the march of maedhros",during the noontide of valinor,fa 587[1],elves,dark red[2],ñoldor (house of fëanor),,"maedhros the tallmaedhros the dispossessed,nelyafinwë,maitimo,russandol",,elven sword,yt 1497 - fa 5 (high kingfa 7 - fa 472 (lord of himring),none,,tall,,,,fëanor and nerdanel,"maglor, celegorm, caranthir, curufin, amrod, amras",,,,,,,,,,,,,,,,,,
194,H%C3%BArin,b'https://lotr.fandom.com/wiki/H%C3%BArin',Húrin,lord of dor-lómin,fa 441[1][2],fa 502[3],men,"golden, grey (in old age)",edain (house of hador)men of dor-lómin,,húrin thalionúmarth,,swordaxe,,morwen eledhwen,,he was of unimpressive stature,,blue[4],male,,,,,,,,,,,,,,,,,,,,
195,Maglor,b'https://lotr.fandom.com/wiki/Maglor',Maglor,lord of maglor's gap,during the noontide of valinor,fate unknown; last seen in fa 587,elves,dark,ñoldor (house of fëanor),,macalaurëcanafinwë,,,fa 7 - fa 455,unnamed wife[1],,,elrond and elros (foster sons),,male,fëanor and nerdanel,"maedhros,celegorm,caranthir,curufin,amrod,amras",,,,,,,,,,,,,,,,,,
196,Celebr%C3%ADan,b'https://lotr.fandom.com/wiki/Celebr%C3%ADan',Celebrían,"lady of lothlórien, lady of rivendell",between the years sa 350 and sa 400,departed to aman in ta 2510[1],elves,possibly silver,"falmari (house of olwë),sindar (house of celeborn),ñoldor (house of finarfin),elves of rivendell,galadhrim,elves of eregion",,,,,,elrond,,,"arwen, elladan and elrohir",,female,,,,,,,,,,,,,,,,,,,,
197,Caranthir,b'https://lotr.fandom.com/wiki/Caranthir',Caranthir,"lord of thargelion, prince of the ñoldor",during the noontide of valinor,fa 506,elves,dark,ñoldor (house of fëanor),,"cranthir[1], caranthir the dark, carnistir, morifinwë [2]",,"sword (caranlhach), crossbow (cubeleg)",,unnamed wife[3],,,,grey,male,,,,,,,,,,,,,,,,,,,,
198,Arvedui,b'https://lotr.fandom.com/wiki/Arvedui',Arvedui,king of arthedain,ta 1864[1],ta 1975,men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1964,fíriel,,,,,,,,111,,,,,,,,,,,,,,,,,
199,Barahir,b'https://lotr.fandom.com/wiki/Barahir',Barahir,chieftain of the house of bëorlord of ladroscaptain of the outlaws of dorthonion,fa 400[1],fa 460[1],men,possibly dark,edain (house of bëor)men of dorthonion,,,,"sword, bow",,emeldir,,,,,male,,,,,,,,,,,,,,,,,,,,
200,Amras,b'https://lotr.fandom.com/wiki/Amras',Amras,lord of estolad,years of the trees,fa 538[2],elves,dark red,ñoldor (house of fëanor),,"díriel[1], ambarussa, pityafinwë",estolad,"sword ?, bow",,none[3],,,,,male,,,,,,,,,,,,,,,,,,,,
201,Anair%C3%AB,b'https://lotr.fandom.com/wiki/Anair%C3%AB',Anairë,,yt?,,elves,,ñoldor (house of fingolfin),,,,,,fingolfin,,,,,,,,,,,,,,,,,,,,,,,,,
202,Aredhel,b'https://lotr.fandom.com/wiki/Aredhel',Aredhel Ar-Feiniel,princess of gondolin,yt 1362[1],fa 400,elves,dark,ñoldor (house of fingolfin)gondolindrim,,"aredhel ar-feinielirissë, isfin",,,,eöl,,tall,,,,,,,,,,,,,,,,,,,,,,,
203,Nerdanel,b'https://lotr.fandom.com/wiki/Nerdanel',Nerdanel,,"yt?, during the noontide of valinor",unknown,elves,reddish brown,ñoldor (house of mahtan),,"nerdanel ""the wise""",,,,fëanor,,,,,female,,,,,,,,,,,,,,,,,,,,
204,Elladan_and_Elrohir,b'https://lotr.fandom.com/wiki/Elladan_and_Elrohir',Elladan and Elrohir,,ta 130[1],unknown,elves,dark[3],half-elven (elves of rivendell),sam and matt kennard (born of hope),,,,,,,tall[2],,grey[4],male,,,,,,,,,,,,,,,,,,,,
205,Aegnor,b'https://lotr.fandom.com/wiki/Aegnor',Aegnor,lord of dorthonion with angrod,yt ? during the noontide of valinor,fa 455[2],elves,golden,"ñoldor (house of finarfin),falmari (house of olwë)",,"egnor [1],aikanár,aikanáro",,,,"loved andreth, but remained unmarried",,,,,male,,,,,,,,,,,,,,,,,,,,
206,Andreth,b'https://lotr.fandom.com/wiki/Andreth',Andreth,"""wise-woman""""wise-heart""",fa 361[2],fa 455 ?,men,dark brown,edain (house of bëor),,"saelind, 'wise-woman' of the edain[1]",,,,loved aegnor but they never married,,,,,female,,,,,,,,,,,,,,,,,,,,
207,E%C3%A4rwen,b'https://lotr.fandom.com/wiki/E%C3%A4rwen',Eärwen,princess of the falmari,before yt 1280,unknown,elves,star-like silver[1],falmari (house of olwë),,swan-maiden of alqualondë,,,,finarfin,,,,,,,,,,,,,,,,,,,,,,,,,
208,Bereg,b'https://lotr.fandom.com/wiki/Bereg',Bereg,,fa 340[1],,men,,edain (house of bëor),,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
209,Bregor,b'https://lotr.fandom.com/wiki/Bregor',Bregor,"chieftain of the house of bëor, lord of ladros",mid first age,late first age ?,men,,"edain (house of bëor), men of dorthonion",,,,bow of bregor,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
210,Bregolas,b'https://lotr.fandom.com/wiki/Bregolas',Bregolas,"chieftain of the house of bëor, lord of ladros",late first age ?,fa 455,men,,edain (house of bëor),,,,,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
211,Morwen,b'https://lotr.fandom.com/wiki/Morwen',Morwen,lady of dor-lómin,fa 443,fa 500,men,dark; grey in old age,"edain (house of bëor), men of dor-lómin",,eledhwen,,,,húrin thalion,,tall,,,,,,,,,,,,,,,,,,,,,,,
212,Elenw%C3%AB,b'https://lotr.fandom.com/wiki/Elenw%C3%AB',Elenwë,,yt?,yt 1500[1],elves,golden,vanyar (elves of valinor),,,,,,turgon,,tall,,,female,,,,,,,,,,,,,,,,,,,,
213,Dior,b'https://lotr.fandom.com/wiki/Dior',Dior,king of doriathhigh king of the sindar,fa 470[1],fa 509[2],half-elven,possibly dark (born to dark-haired parents),house of bëor,,"ausir, aranel, dior eluchîl, dior the fair",doriath,aranrúth,fa 502 - fa 509[2],nimloth,,,"eluréd, elurín, elwing",,male,beren and lúthien,,39,,,,,,,,,,,,,,,,,
214,Elur%C3%A9d_and_Elur%C3%ADn,b'https://lotr.fandom.com/wiki/Elur%C3%A9d_and_Elur%C3%ADn',Eluréd and Elurín,,fa 500[1],last seen in the forests of doriath in fa 509,half-elven,,house of bëor,,,doriath,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
215,Tar-Elendil,b'https://lotr.fandom.com/wiki/Tar-Elendil',Tar-Elendil,king of númenor,sa 350,sa 751,men,,númenóreans (house of elros),,parmaitë[1],númenor,aranrúth,sa 590 - sa 740,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
216,Valandil_of_And%C3%BAni%C3%AB,b'https://lotr.fandom.com/wiki/Valandil_of_And%C3%BAni%C3%AB',Valandil,lord of andúnië,early second age ?,early second age ?,men,,númenóreans (house of elros),,,,,,unknown,,,,,male,,,,,,,,,,,,,,,,,,,,
217,Tar-Ancalim%C3%AB,b'https://lotr.fandom.com/wiki/Tar-Ancalim%C3%AB',Tar-Ancalimë,ruling queen of númenor,sa 873[2],sa 1285[2],men,,númenóreans (house of elros),,emerwen aranel[1],númenor,aranrúth,sa 1075 - sa 1280,hallacar,,,,,female,,,,,,,,,,,,,,,,,,,,
218,Tar-Telperi%C3%ABn,b'https://lotr.fandom.com/wiki/Tar-Telperi%C3%ABn',Tar-Telperiën,ruling queen of númenor,sa 1320[1],sa 1731[1],men,,númenóreans (house of elros),,,númenor,aranrúth,sa 1556,none,,,,,female,,,,,,,,,,,,,,,,,,,,
219,Tar-Vanimeld%C3%AB,b'https://lotr.fandom.com/wiki/Tar-Vanimeld%C3%AB',Tar-Vanimeldë,ruling queen of númenor,sa 2277[1],sa 2637[1],men,,númenórean (house of elros),,,númenor,aranrúth,sa 2526,herucalmo,,,,,female,,,,,,,,,,,,,,,,,,,,
220,Silmari%C3%ABn,b'https://lotr.fandom.com/wiki/Silmari%C3%ABn',Silmariën,,sa 521[1],unknown,men,,númenóreans (house of elros),,,,,,elatan,,,,,female,,,,,,,,,,,,,,,,,,,,
221,Tar-Meneldur,b'https://lotr.fandom.com/wiki/Tar-Meneldur',Tar-Meneldur,king of númenor,sa 543[2],sa 942[2],men,,númenóreans (house of elros),,elentirmo[1]irimon [2],númenor,aranrúth,sa 740[2] - sa 883,almarian,,,,,male,,,,,,,,,,,,,,,,,,,,
222,Valandil,b'https://lotr.fandom.com/wiki/Valandil',Valandil,king of arnor,sa 3430[1],ta 249[2],men,,dúnedain of the north (house of isildur),,,arnor,king's sword,ta 10,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
223,Eldacar_(King_of_Arnor),b'https://lotr.fandom.com/wiki/Eldacar_(King_of_Arnor)',Eldacar,king of arnor,ta 87[1],ta 339[2],men,,dúnedain of the north (house of isildur),,,arnor,king's sword (presumably),ta 249,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
224,Arantar,b'https://lotr.fandom.com/wiki/Arantar',Arantar,king of arnor,ta 185[1],ta 435[1],men,,dúnedain of the north (house of isildur),,,arnor,king's sword,ta 339,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
225,Tarcil,b'https://lotr.fandom.com/wiki/Tarcil',Tarcil,king of arnor,ta 280[1],ta 515[2],men,,dúnedain of the north (house of isildur),,tarkil,arnor,king's sword,ta 435 - ta 515,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
226,Tarondor_of_Arnor,b'https://lotr.fandom.com/wiki/Tarondor_of_Arnor',Tarondor,king of arnor,ta 372[1],ta 602,men,,dúnedain of the north (house of isildur),,,arnor,king's sword,ta 515[2],unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
227,Valandur,b'https://lotr.fandom.com/wiki/Valandur',Valandur,king of arnor,ta 462[1],ta 652[2],men,,dúnedain of the north (house of isildur),,,arnor,king's sword,ta 602,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
228,Argon,b'https://lotr.fandom.com/wiki/Argon',Argon,prince of the noldor,after yt 1362,fa 1,elves,possibly dark,ñoldor (house of fingolfin),,arakáno,tirion,sword,,none,,tallest of his siblings,,,male,,,,,,,,,,,,,,,,,,,,
229,Mahtan,b'https://lotr.fandom.com/wiki/Mahtan',Mahtan,,"unknown, yt ?",unknown,elves,brown with copperlike-red[1],ñoldor (house of mahtan),,"aulendur, urundil, rusco[1]",,,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
230,Tar-Aldarion,b'https://lotr.fandom.com/wiki/Tar-Aldarion',Tar-Aldarion,"the marinerthe ""great captain""[2]lord of the ships and havens of númenormaster of the forests[2]king of númenor",sa 700[1],sa 1098[1],men,,númenóreans (house of elros),,anardilaldarion[1]anardilya,númenor,aranrúth,sa 883[1] - sa 1075,erendis,,,,,male,,,,,,,,,,,,,,,,,,,,
231,Hador,b'https://lotr.fandom.com/wiki/Hador',Hador,lord of dor-lómin,fa 390[1],fa 455[1],men,golden,edain (house of hador),,hador lórindol,,,,gildis,,,,blue,male,,,,,,,,,,,,,,,,,,,,
232,Nimrodel,b'https://lotr.fandom.com/wiki/Nimrodel',Nimrodel,,before the first age,"unknown, last known sighting in ta 1981",elves,possibly golden[1],galadhrim,,,,,,was in love in amroth,,,,,female,,,,,,,,,,,,,,,,,,,,
233,Mithrellas,b'https://lotr.fandom.com/wiki/Mithrellas',Mithrellas,,,,elves,,galadhrim,,,lothlorienbelfalas,,,imrazôr,,,,,,,,,,,,,,,,,,,,,,,,,
234,Olw%C3%AB,b'https://lotr.fandom.com/wiki/Olw%C3%AB',Olwë,"lord of tol eressëa,lord of alqualondë,king of the falmari",possibly firstborn. after yt 1050,unknown,elves,silver[1],"teleri, later falmari (house of olwë)",,,"tol eressëa,alqualondë",,years of the trees,unnamed wife,,,,blue[1],male,,,,,,,,,,,,,,,,,,,,
235,Tar-Palantir,b'https://lotr.fandom.com/wiki/Tar-Palantir',Tar-Palantir,king of númenor,sa 3035[1],sa 3255[1],men,,"númenóreans (house of elros), the faithful",,"inziladûn, the farsighted, and ar-inziladûn[1]",númenor,aranrúth,sa 3177,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
236,Ar-Sakalth%C3%B4r,b'https://lotr.fandom.com/wiki/Ar-Sakalth%C3%B4r',Ar-Sakalthôr,king of númenor,sa 2876[1],sa 3102[1],men,,"númenóreans, king's men",,tar-falassion [1],númenor,aranrúth,sa 3033,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
237,Ar-Zimrath%C3%B4n,b'https://lotr.fandom.com/wiki/Ar-Zimrath%C3%B4n',Ar-Zimrathôn,king of númenor,sa 2798,sa 3033,men,,"númenórean (house of elros), king's men",,tar-hostamir[1],númenor,aranrúth,sa 2962,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
238,Vidumavi,b'https://lotr.fandom.com/wiki/Vidumavi',Vidumavi,princess of rhovanion,before ta 1255[1],ta 1344[1],men,,"northmen,men of gondor",,galadwen[1],,,,valacar,,,,,female,,,,,,,,,,,,,,,,,,,,
239,R%C3%B3mendacil_II,b'https://lotr.fandom.com/wiki/R%C3%B3mendacil_II',Rómendacil II,"regent of gondor, king of gondor",ta 1126[1],ta 1366[1],men,,"dúnedain, men of gondor",,minalcar,gondor,king's sword,ta 1304,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
240,Aranarth,b'https://lotr.fandom.com/wiki/Aranarth',Aranarth,"chieftain of the dúnedain, heir of isildur",ta 1938[1],ta 2106[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
241,Argeleb_I,b'https://lotr.fandom.com/wiki/Argeleb_I',Argeleb I,"king of arthedain, king of arnor",ta 1226[1],ta 1356[2],men,,dúnedain of the north (house of isildur),,,"arthedain,arnor",king's sword,ta 1349,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
242,Malvegil,b'https://lotr.fandom.com/wiki/Malvegil',Malvegil,king of arthedain,ta 1144[1],ta 1349[2],men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1272,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
243,Celebrindor,b'https://lotr.fandom.com/wiki/Celebrindor',Celebrindor,king of arthedain,ta 1062[1],ta 1272[2],men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1191,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
244,Celepharn,b'https://lotr.fandom.com/wiki/Celepharn',Celepharn,king of arthedain,ta 979[1],ta 1191[2],men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1110,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
245,Mallor,b'https://lotr.fandom.com/wiki/Mallor',Mallor,king of arthedain,ta 895[1],ta 1110[2],men,,dúnedain of the north (house of isildur),,,arthedain (arnor),king's sword,ta 1029,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
246,Beleg_of_Arnor,b'https://lotr.fandom.com/wiki/Beleg_of_Arnor',Beleg,king of arthedain,ta 811[1],ta 1029[2],men,,dúnedain of the north (house of isildur),,,arnor (arthedain),king's sword,ta 946,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
247,Araphant,b'https://lotr.fandom.com/wiki/Araphant',Araphant,king of arthedain,ta 1789[1],ta 1964[2],men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1891,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
248,Tar-Minastir,b'https://lotr.fandom.com/wiki/Tar-Minastir',Tar-Minastir,king of númenor,sa 1474[1],sa 1873[1],men,,númenóreans (house of elros),,,númenor,aranrúth,sa 1731[1] - sa 1869,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
249,Tar-Ciryatan,b'https://lotr.fandom.com/wiki/Tar-Ciryatan',Tar-Ciryatan,king of númenor,sa 1634[2],sa 2035[2],men,,númenórean (house of elros),,"ar-balkumagân, the shipbuilder[1]",númenor,aranrúth,sa 1869[2] - sa 2029,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
250,Tar-Atanamir,b'https://lotr.fandom.com/wiki/Tar-Atanamir',Tar-Atanamir,king of númenor,sa 1800[1],sa 2221[1],men,,númenóreans (house of elros),,the greatthe unwilling[1],númenor,aranrúth,sa 2029[1],unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
251,Tar-Ancalimon,b'https://lotr.fandom.com/wiki/Tar-Ancalimon',Tar-Ancalimon,king of númenor,sa 1986[1],sa 2386[1],men,,"númenórean (house of elros), king's men",,,númenor,aranrúth,sa 2221,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
252,Tar-Telemmait%C3%AB,b'https://lotr.fandom.com/wiki/Tar-Telemmait%C3%AB',Tar-Telemmaitë,king of númenor,sa 2136[1],sa 2526[1],men,,"númenóreans (house of elros), king's men",,,númenor,aranrúth,sa 2386[1],unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
253,Elendur,b'https://lotr.fandom.com/wiki/Elendur',Elendur,heir of isildur,sa 3299[1],ta 2[2],men,,"númenóreans (the faithful), dúnedain of the north",,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,
254,Amlaith,b'https://lotr.fandom.com/wiki/Amlaith',Amlaith,king of arthedain,ta 726[2],ta 946[3],men,,dúnedain of the north (house of isildur),,amlaith of fornost[1],arthedain,king's sword,ta 861,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
255,Arveleg_I,b'https://lotr.fandom.com/wiki/Arveleg_I',Arveleg I,king of arthedain,ta 1309[1],ta 1409[2],men,,dúnedain of the north (house of isildur),,,arnor (arthedain),king's sword,ta 1356,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
256,Araphor,b'https://lotr.fandom.com/wiki/Araphor',Araphor,king of arthedain,ta 1391[1],ta 1589[2],men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1409,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
257,Arvegil,b'https://lotr.fandom.com/wiki/Arvegil',Arvegil,king of arthedain,ta 1553[1],ta 1743[2],men,,dúnedain of the north (house of isildur),,,arthedain (arnor),king's sword,ta 1670,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
258,Arveleg_II,b'https://lotr.fandom.com/wiki/Arveleg_II',Arveleg II,king of arthedain,ta 1633[1],ta 1813[2],men,,dúnedain of the north (house of isildur),,,arthedain (arnor),king's sword,ta 1743,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
259,Araval,b'https://lotr.fandom.com/wiki/Araval',Araval,king of arthedain,ta 1711[1],ta 1891[2],men,,dúnedain of the north (house of isildur),,,arthedain (arnor),king's sword,ta 1813,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
260,Arahael,b'https://lotr.fandom.com/wiki/Arahael',Arahael,chieftain of the dúnedain,ta 2012[1],ta 2177[2],men,,dúnedain of the north (rangers of the north),,,,"shards of narsil, sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
261,Aranuir,b'https://lotr.fandom.com/wiki/Aranuir',Aranuir,chieftain of the dúnedain,ta 2084[1],ta 2247[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
262,Aravir,b'https://lotr.fandom.com/wiki/Aravir',Aravir,chieftain of the dúnedain,ta 2156[1],ta 2319[2],men,,dúnedain of the north (rangers of the north),,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
263,Araglas,b'https://lotr.fandom.com/wiki/Araglas',Araglas,chieftain of the dúnedain,ta 2296[1],ta 2455[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
264,Arahad_I,b'https://lotr.fandom.com/wiki/Arahad_I',Arahad I,chieftain of the dúnedain,ta 2365[1],ta 2523[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
265,Aragost,b'https://lotr.fandom.com/wiki/Aragost',Aragost,chieftain of the dúnedain,ta 2431[1],ta 2588[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
266,Aravorn,b'https://lotr.fandom.com/wiki/Aravorn',Aravorn,chieftain of the dúnedain,ta 2497[1],ta 2654[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
267,Arahad_II,b'https://lotr.fandom.com/wiki/Arahad_II',Arahad II,chieftain of the dúnedain,ta 2563[1],ta 2719[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
268,Arassuil,b'https://lotr.fandom.com/wiki/Arassuil',Arassuil,chieftain of the dúnedain,ta 2628[1],ta 2784[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
269,Arathorn_I,b'https://lotr.fandom.com/wiki/Arathorn_I',Arathorn I,chieftain of the dúnedain,ta 2693[1],ta 2848[2],men,,dúnedain of the north (house of isildur)rangers of the north,,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
270,Argonui,b'https://lotr.fandom.com/wiki/Argonui',Argonui,chieftain of the dúnedain,ta 2757[1],ta 2912[1],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
271,Arathorn_II,b'https://lotr.fandom.com/wiki/Arathorn_II',Arathorn II,"chieftain of the dúnedain,heir of isildur",ta 2873[1],ta 2933[2],men,,dúnedain of the north (rangers of the north),,,,"shards of narsil,chieftain's sword",,gilraen,,,,,male,,,,,,,,,,,,,,,,,,,,
272,Vardamir_N%C3%B3limon,b'https://lotr.fandom.com/wiki/Vardamir_N%C3%B3limon',Vardamir Nólimon,king of númenor,sa 61[1],sa 471[1],men,,númenóreans (house of elros),,tar-vardamir,,aranrúth,sa 442,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
273,Tar-Amandil,b'https://lotr.fandom.com/wiki/Tar-Amandil',Tar-Amandil,king of númenor,sa 192[1],sa 603[1],men,,númenóreans (house of elros),,,númenor,aranrúth,sa 442[1] - sa 590,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
274,Tar-S%C3%BArion,b'https://lotr.fandom.com/wiki/Tar-S%C3%BArion',Tar-Súrion,king of númenor,sa 1174[1],sa 1574[1],men,,númenóreans (house of elros),,,númenor,aranrúth,sa 1394 - sa 1556,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
275,Tar-An%C3%A1rion,b'https://lotr.fandom.com/wiki/Tar-An%C3%A1rion',Tar-Anárion,king of númenor,sa 1003[1],sa 1404[1],men,,númenóreans (house of elros),,,númenor,aranrúth,sa 1280 - sa 1394,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
276,Erendis,b'https://lotr.fandom.com/wiki/Erendis',Erendis,queen of númenor,sa 771[1],sa 985,men,dark,númenóreans (house of elros),,tar-elestirnë,númenor,,sa 883,tar-aldarion,,,,,female,,,,,,,,,,,,,,,,,,,,
277,Tar-Calmacil,b'https://lotr.fandom.com/wiki/Tar-Calmacil',Tar-Calmacil,king of númenor,sa 2516,sa 2825,men,,númenórean (king's men),,ar-belzagar [1],númenor,aranrúth,sa 2737,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
278,Mablung,b'https://lotr.fandom.com/wiki/Mablung',Mablung,captain and marchwarden of doriath,,fa 502,elves,,sindar (elves of doriath),,the heavy hand,,"sword, knife, spear, bow",,,,,,,male,,,,,,,,,,,,,,,,,,,,
279,Isilmo,b'https://lotr.fandom.com/wiki/Isilmo',Isilmo,,after sa 1320,before sa 1731,men,,númenóreans (house of elros),,,,,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
280,Old_Man_Willow,b'https://lotr.fandom.com/wiki/Old_Man_Willow',OId Man Willow,,,,tree (possibly huorn),,the old forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Pallando,b'https://lotr.fandom.com/wiki/Pallando',Pallando,,before the creation of arda,immortal,ainur (maiar),,istari (wizards),,"pallando the blue,rómestámo",,wizard staff,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Tobias_Hornblower,b'https://lotr.fandom.com/wiki/Tobias_Hornblower',Tobias Hornblower,,late third age?,late ta 3018,hobbits,,shire-hobbits (hornblower family),,,shire,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
283,Figwit,b'https://lotr.fandom.com/wiki/Figwit',Figwit,,,,elves,,elves of rivendell,bret mackenzie,,,,,,,,,,male,,,,figwit,? - fourth age ?,,,,,,,"melpomaen, aegnor, elf escort",,,,,,,,
284,Erestor,b'https://lotr.fandom.com/wiki/Erestor',Erestor,,,,elves,,elves of rivendell,jonathan harding,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
